step,bucket,reason,segment_chars
1,traceback_in_exit0,traceback_only_no_test_failure,202
1,traceback_in_exit0,traceback_only_no_test_failure,147
1,traceback_in_exit0,traceback_only_no_test_failure,857
1,traceback_in_exit0,traceback_only_no_test_failure,134
1,traceback_in_exit0,traceback_only_no_test_failure,148
1,traceback_in_exit0,traceback_only_no_test_failure,2761
1,traceback_in_exit0,traceback_only_no_test_failure,182
1,traceback_in_exit0,traceback_only_no_test_failure,127
1,traceback_in_exit0,traceback_only_no_test_failure,126
1,traceback_in_exit0,traceback_only_no_test_failure,1133
1,traceback_in_exit0,traceback_only_no_test_failure,1187
1,traceback_in_exit0,traceback_only_no_test_failure,121
2,traceback_in_exit0,traceback_only_no_test_failure,145
2,traceback_in_exit0,traceback_only_no_test_failure,149
2,traceback_in_exit0,traceback_only_no_test_failure,1813
2,traceback_in_exit0,traceback_only_no_test_failure,1967
2,traceback_in_exit0,traceback_only_no_test_failure,460
2,traceback_in_exit0,traceback_only_no_test_failure,1865
2,traceback_in_exit0,traceback_only_no_test_failure,2806
2,traceback_in_exit0,traceback_only_no_test_failure,2135
2,traceback_in_exit0,traceback_only_no_test_failure,2160
2,traceback_in_exit0,traceback_only_no_test_failure,1182
3,traceback_in_exit0,traceback_only_no_test_failure,455
5,traceback_in_exit0,traceback_only_no_test_failure,621
5,traceback_in_exit0,traceback_only_no_test_failure,417
5,traceback_in_exit0,traceback_only_no_test_failure,383
6,traceback_in_exit0,traceback_only_no_test_failure,266
6,traceback_in_exit0,traceback_only_no_test_failure,266
6,traceback_in_exit0,traceback_only_no_test_failure,1155
6,traceback_in_exit0,traceback_only_no_test_failure,1066
6,traceback_in_exit0,traceback_only_no_test_failure,145
6,traceback_in_exit0,traceback_only_no_test_failure,1256
6,traceback_in_exit0,traceback_only_no_test_failure,391
6,traceback_in_exit0,traceback_only_no_test_failure,163
6,traceback_in_exit0,traceback_only_no_test_failure,1290
6,traceback_in_exit0,traceback_only_no_test_failure,147
6,traceback_in_exit0,traceback_only_no_test_failure,805
6,traceback_in_exit0,traceback_only_no_test_failure,158
6,traceback_in_exit0,traceback_only_no_test_failure,401
6,traceback_in_exit0,traceback_only_no_test_failure,1748
6,traceback_in_exit0,traceback_only_no_test_failure,324
6,traceback_in_exit0,traceback_only_no_test_failure,1062
6,traceback_in_exit0,traceback_only_no_test_failure,437
7,traceback_in_exit0,traceback_only_no_test_failure,254
