step,bucket,reason,segment_chars
1,traceback_in_exit0,traceback_only_no_test_failure,151
1,traceback_in_exit0,traceback_only_no_test_failure,2809
1,traceback_in_exit0,traceback_only_no_test_failure,1540
1,traceback_in_exit0,traceback_only_no_test_failure,2906
1,traceback_in_exit0,traceback_only_no_test_failure,145
1,traceback_in_exit0,traceback_only_no_test_failure,149
2,traceback_in_exit0,traceback_only_no_test_failure,160
2,traceback_in_exit0,traceback_only_no_test_failure,228
2,traceback_in_exit0,traceback_only_no_test_failure,119
2,traceback_in_exit0,traceback_only_no_test_failure,211
2,traceback_in_exit0,traceback_only_no_test_failure,397
2,traceback_in_exit0,traceback_only_no_test_failure,475
2,tests_failed_in_exit0,unexplained_exit0_with_test_failure,179
3,traceback_in_exit0,traceback_only_no_test_failure,189
3,traceback_in_exit0,traceback_only_no_test_failure,147
3,traceback_in_exit0,traceback_only_no_test_failure,1460
3,traceback_in_exit0,traceback_only_no_test_failure,184
3,traceback_in_exit0,traceback_only_no_test_failure,183
3,traceback_in_exit0,traceback_only_no_test_failure,756
3,traceback_in_exit0,traceback_only_no_test_failure,150
3,traceback_in_exit0,traceback_only_no_test_failure,167
3,traceback_in_exit0,traceback_only_no_test_failure,145
3,traceback_in_exit0,traceback_only_no_test_failure,182
4,traceback_in_exit0,traceback_only_no_test_failure,10543
4,traceback_in_exit0,traceback_only_no_test_failure,571
4,traceback_in_exit0,traceback_only_no_test_failure,3001
4,traceback_in_exit0,traceback_only_no_test_failure,1910
4,traceback_in_exit0,traceback_only_no_test_failure,254
4,traceback_in_exit0,traceback_only_no_test_failure,1979
4,traceback_in_exit0,traceback_only_no_test_failure,418
4,traceback_in_exit0,traceback_only_no_test_failure,410
4,traceback_in_exit0,traceback_only_no_test_failure,1113
4,traceback_in_exit0,traceback_only_no_test_failure,488
4,traceback_in_exit0,traceback_only_no_test_failure,1375
4,traceback_in_exit0,traceback_only_no_test_failure,1997
4,traceback_in_exit0,traceback_only_no_test_failure,443
5,traceback_in_exit0,traceback_only_no_test_failure,291
5,traceback_in_exit0,traceback_only_no_test_failure,126
5,traceback_in_exit0,traceback_only_no_test_failure,142
5,traceback_in_exit0,traceback_only_no_test_failure,127
5,traceback_in_exit0,traceback_only_no_test_failure,229
5,traceback_in_exit0,traceback_only_no_test_failure,890
6,traceback_in_exit0,traceback_only_no_test_failure,267
6,traceback_in_exit0,traceback_only_no_test_failure,427
6,traceback_in_exit0,traceback_only_no_test_failure,2824
7,traceback_in_exit0,traceback_only_no_test_failure,297
7,traceback_in_exit0,traceback_only_no_test_failure,747
7,traceback_in_exit0,traceback_only_no_test_failure,298
7,traceback_in_exit0,traceback_only_no_test_failure,268
7,traceback_in_exit0,traceback_only_no_test_failure,304
7,traceback_in_exit0,traceback_only_no_test_failure,330
7,traceback_in_exit0,traceback_only_no_test_failure,268
7,traceback_in_exit0,traceback_only_no_test_failure,472
7,traceback_in_exit0,traceback_only_no_test_failure,308
7,traceback_in_exit0,traceback_only_no_test_failure,191
7,traceback_in_exit0,traceback_only_no_test_failure,467
7,traceback_in_exit0,traceback_only_no_test_failure,572
7,traceback_in_exit0,traceback_only_no_test_failure,180
8,traceback_in_exit0,traceback_only_no_test_failure,379
8,traceback_in_exit0,traceback_only_no_test_failure,409
8,traceback_in_exit0,traceback_only_no_test_failure,145
8,traceback_in_exit0,traceback_only_no_test_failure,1749
8,traceback_in_exit0,traceback_only_no_test_failure,136
8,traceback_in_exit0,traceback_only_no_test_failure,407
8,traceback_in_exit0,traceback_only_no_test_failure,502
8,traceback_in_exit0,traceback_only_no_test_failure,433
8,traceback_in_exit0,traceback_only_no_test_failure,1204
8,traceback_in_exit0,traceback_only_no_test_failure,489
8,traceback_in_exit0,traceback_only_no_test_failure,449
8,traceback_in_exit0,traceback_only_no_test_failure,1565
8,traceback_in_exit0,traceback_only_no_test_failure,594
8,traceback_in_exit0,traceback_only_no_test_failure,597
8,traceback_in_exit0,traceback_only_no_test_failure,541
8,traceback_in_exit0,traceback_only_no_test_failure,428
8,traceback_in_exit0,traceback_only_no_test_failure,609
8,traceback_in_exit0,traceback_only_no_test_failure,562
8,traceback_in_exit0,traceback_only_no_test_failure,483
8,traceback_in_exit0,traceback_only_no_test_failure,1517
8,traceback_in_exit0,traceback_only_no_test_failure,908
8,traceback_in_exit0,traceback_only_no_test_failure,605
8,traceback_in_exit0,traceback_only_no_test_failure,640
8,traceback_in_exit0,traceback_only_no_test_failure,588
8,traceback_in_exit0,traceback_only_no_test_failure,590
8,traceback_in_exit0,traceback_only_no_test_failure,356
9,traceback_in_exit0,traceback_only_no_test_failure,517
9,traceback_in_exit0,traceback_only_no_test_failure,662
9,traceback_in_exit0,traceback_only_no_test_failure,170
9,traceback_in_exit0,traceback_only_no_test_failure,4255
9,traceback_in_exit0,traceback_only_no_test_failure,1847
9,traceback_in_exit0,traceback_only_no_test_failure,1523
9,traceback_in_exit0,traceback_only_no_test_failure,131
9,traceback_in_exit0,traceback_only_no_test_failure,192
10,traceback_in_exit0,traceback_only_no_test_failure,220
10,traceback_in_exit0,traceback_only_no_test_failure,893
10,traceback_in_exit0,traceback_only_no_test_failure,519
10,traceback_in_exit0,traceback_only_no_test_failure,693
10,traceback_in_exit0,traceback_only_no_test_failure,851
10,traceback_in_exit0,traceback_only_no_test_failure,882
10,traceback_in_exit0,traceback_only_no_test_failure,727
10,traceback_in_exit0,traceback_only_no_test_failure,1088
10,traceback_in_exit0,traceback_only_no_test_failure,401
10,traceback_in_exit0,traceback_only_no_test_failure,139
10,traceback_in_exit0,traceback_only_no_test_failure,1095
10,traceback_in_exit0,traceback_only_no_test_failure,392
10,traceback_in_exit0,traceback_only_no_test_failure,1544
10,traceback_in_exit0,traceback_only_no_test_failure,462
10,traceback_in_exit0,traceback_only_no_test_failure,133
10,traceback_in_exit0,traceback_only_no_test_failure,844
10,traceback_in_exit0,traceback_only_no_test_failure,318
10,traceback_in_exit0,traceback_only_no_test_failure,724
10,traceback_in_exit0,traceback_only_no_test_failure,415
10,traceback_in_exit0,traceback_only_no_test_failure,373
10,traceback_in_exit0,traceback_only_no_test_failure,395
10,traceback_in_exit0,traceback_only_no_test_failure,319
10,traceback_in_exit0,traceback_only_no_test_failure,214
10,traceback_in_exit0,traceback_only_no_test_failure,125
10,traceback_in_exit0,traceback_only_no_test_failure,430
10,traceback_in_exit0,traceback_only_no_test_failure,791
10,traceback_in_exit0,traceback_only_no_test_failure,1342
10,traceback_in_exit0,traceback_only_no_test_failure,134
10,traceback_in_exit0,traceback_only_no_test_failure,122
10,traceback_in_exit0,traceback_only_no_test_failure,855
10,traceback_in_exit0,traceback_only_no_test_failure,263
10,traceback_in_exit0,traceback_only_no_test_failure,538
10,traceback_in_exit0,traceback_only_no_test_failure,186
10,traceback_in_exit0,traceback_only_no_test_failure,515
10,traceback_in_exit0,traceback_only_no_test_failure,604
10,traceback_in_exit0,traceback_only_no_test_failure,603
11,traceback_in_exit0,traceback_only_no_test_failure,145
11,traceback_in_exit0,traceback_only_no_test_failure,136
11,traceback_in_exit0,traceback_only_no_test_failure,145
11,traceback_in_exit0,traceback_only_no_test_failure,123
11,traceback_in_exit0,traceback_only_no_test_failure,231
11,traceback_in_exit0,traceback_only_no_test_failure,701
11,traceback_in_exit0,traceback_only_no_test_failure,1792
11,traceback_in_exit0,traceback_only_no_test_failure,122
12,traceback_in_exit0,traceback_only_no_test_failure,447
12,traceback_in_exit0,traceback_only_no_test_failure,497
12,traceback_in_exit0,traceback_only_no_test_failure,241
12,traceback_in_exit0,traceback_only_no_test_failure,262
12,traceback_in_exit0,traceback_only_no_test_failure,318
12,traceback_in_exit0,traceback_only_no_test_failure,464
12,traceback_in_exit0,traceback_only_no_test_failure,886
12,traceback_in_exit0,traceback_only_no_test_failure,342
12,traceback_in_exit0,traceback_only_no_test_failure,464
12,traceback_in_exit0,traceback_only_no_test_failure,272
12,traceback_in_exit0,traceback_only_no_test_failure,476
12,traceback_in_exit0,traceback_only_no_test_failure,112
12,traceback_in_exit0,traceback_only_no_test_failure,137
12,traceback_in_exit0,traceback_only_no_test_failure,137
12,traceback_in_exit0,traceback_only_no_test_failure,119
12,traceback_in_exit0,traceback_only_no_test_failure,155
12,traceback_in_exit0,traceback_only_no_test_failure,137
12,traceback_in_exit0,traceback_only_no_test_failure,10542
12,traceback_in_exit0,traceback_only_no_test_failure,397
12,traceback_in_exit0,traceback_only_no_test_failure,209
12,traceback_in_exit0,traceback_only_no_test_failure,283
12,traceback_in_exit0,traceback_only_no_test_failure,315
12,traceback_in_exit0,traceback_only_no_test_failure,315
13,traceback_in_exit0,traceback_only_no_test_failure,307
13,traceback_in_exit0,traceback_only_no_test_failure,820
13,traceback_in_exit0,traceback_only_no_test_failure,311
13,traceback_in_exit0,traceback_only_no_test_failure,199
13,traceback_in_exit0,traceback_only_no_test_failure,694
13,traceback_in_exit0,traceback_only_no_test_failure,1047
13,traceback_in_exit0,traceback_only_no_test_failure,671
13,traceback_in_exit0,traceback_only_no_test_failure,1034
13,traceback_in_exit0,traceback_only_no_test_failure,1034
13,traceback_in_exit0,traceback_only_no_test_failure,1034
13,traceback_in_exit0,traceback_only_no_test_failure,1034
13,traceback_in_exit0,traceback_only_no_test_failure,1047
