overlay,series_or_arm,window,metric,n,mean,median
rollout,control,Q1_1_100,reward_mean,100,0.624336,0.605469
rollout,control,Q1_1_100,zero_fraction,100,0.375664,0.394531
rollout,control,Q1_1_100,resp_len_mean,100,14554.444219,14304.574219
rollout,control,Q1_1_100,resp_len_median,100,11362.615,10878.0
rollout,control,Q1_1_100,tool_calls_mean,100,28.747969,28.955078
rollout,control,Q1_1_100,timeout_fraction,100,0.121992,0.113281
rollout,control,Q2_101_200,reward_mean,100,0.634453,0.648438
rollout,control,Q2_101_200,zero_fraction,100,0.365547,0.351562
rollout,control,Q2_101_200,resp_len_mean,100,14577.372383,14245.466797
rollout,control,Q2_101_200,resp_len_median,100,11528.76,10961.5
rollout,control,Q2_101_200,tool_calls_mean,100,27.068555,26.738281
rollout,control,Q2_101_200,timeout_fraction,100,0.096328,0.085938
rollout,control,Q3_201_300,reward_mean,100,0.644687,0.644531
rollout,control,Q3_201_300,zero_fraction,100,0.355312,0.355469
rollout,control,Q3_201_300,resp_len_mean,100,13745.653398,13383.890625
rollout,control,Q3_201_300,resp_len_median,100,11429.405,10561.75
rollout,control,Q3_201_300,tool_calls_mean,100,26.343906,25.84375
rollout,control,Q3_201_300,timeout_fraction,100,0.096094,0.082031
rollout,control,Q4_301_400,reward_mean,100,0.647578,0.644531
rollout,control,Q4_301_400,zero_fraction,100,0.352422,0.355469
rollout,control,Q4_301_400,resp_len_mean,100,14824.209297,14558.457031
rollout,control,Q4_301_400,resp_len_median,100,12486.3,11915.75
rollout,control,Q4_301_400,tool_calls_mean,100,27.725313,27.660156
rollout,control,Q4_301_400,timeout_fraction,100,0.111875,0.082031
rollout,control,first_half_1_200,reward_mean,200,0.629395,0.625
rollout,control,first_half_1_200,zero_fraction,200,0.370605,0.375
rollout,control,first_half_1_200,resp_len_mean,200,14565.908301,14298.339844
rollout,control,first_half_1_200,resp_len_median,200,11445.6875,10946.25
rollout,control,first_half_1_200,tool_calls_mean,200,27.908262,27.894531
rollout,control,first_half_1_200,timeout_fraction,200,0.10916,0.099609
rollout,control,second_half_201_400,reward_mean,200,0.646133,0.644531
rollout,control,second_half_201_400,zero_fraction,200,0.353867,0.355469
rollout,control,second_half_201_400,resp_len_mean,200,14284.931348,13932.089844
rollout,control,second_half_201_400,resp_len_median,200,11957.8525,11202.0
rollout,control,second_half_201_400,tool_calls_mean,200,27.034609,26.910156
rollout,control,second_half_201_400,timeout_fraction,200,0.103984,0.082031
rollout,control,all_1_400,reward_mean,400,0.637764,0.640625
rollout,control,all_1_400,zero_fraction,400,0.362236,0.359375
rollout,control,all_1_400,resp_len_mean,400,14425.419824,14067.658203
rollout,control,all_1_400,resp_len_median,400,11701.77,11039.5
rollout,control,all_1_400,tool_calls_mean,400,27.471436,27.492188
rollout,control,all_1_400,timeout_fraction,400,0.106572,0.089844
rollout,production,Q1_1_100,reward_mean,100,0.629141,0.648438
rollout,production,Q1_1_100,zero_fraction,100,0.370859,0.351562
rollout,production,Q1_1_100,resp_len_mean,100,14452.629648,14236.695312
rollout,production,Q1_1_100,resp_len_median,100,11696.705,11200.25
rollout,production,Q1_1_100,tool_calls_mean,100,26.42707,25.804688
rollout,production,Q1_1_100,timeout_fraction,100,0.119492,0.111328
rollout,production,Q2_101_200,reward_mean,100,0.650234,0.644531
rollout,production,Q2_101_200,zero_fraction,100,0.349766,0.355469
rollout,production,Q2_101_200,resp_len_mean,100,18214.810508,18442.828125
rollout,production,Q2_101_200,resp_len_median,100,16361.655,16439.75
rollout,production,Q2_101_200,tool_calls_mean,100,25.006172,24.822266
rollout,production,Q2_101_200,timeout_fraction,100,0.100391,0.082031
rollout,production,Q3_201_300,reward_mean,100,0.659531,0.65625
rollout,production,Q3_201_300,zero_fraction,100,0.340469,0.34375
rollout,production,Q3_201_300,resp_len_mean,100,19072.798359,18893.423828
rollout,production,Q3_201_300,resp_len_median,100,18148.425,17658.25
rollout,production,Q3_201_300,tool_calls_mean,100,25.685078,25.162109
rollout,production,Q3_201_300,timeout_fraction,100,0.113828,0.107422
rollout,production,Q4_301_400,reward_mean,100,0.66125,0.658203
rollout,production,Q4_301_400,zero_fraction,100,0.33875,0.341797
rollout,production,Q4_301_400,resp_len_mean,100,17219.752266,17599.548828
rollout,production,Q4_301_400,resp_len_median,100,15962.725,16232.25
rollout,production,Q4_301_400,tool_calls_mean,100,20.986055,20.669922
rollout,production,Q4_301_400,timeout_fraction,100,0.065039,0.042969
rollout,production,first_half_1_200,reward_mean,200,0.639687,0.646484
rollout,production,first_half_1_200,zero_fraction,200,0.360312,0.353516
rollout,production,first_half_1_200,resp_len_mean,200,16333.720078,16336.306641
rollout,production,first_half_1_200,resp_len_median,200,14029.18,13845.75
rollout,production,first_half_1_200,tool_calls_mean,200,25.716621,25.314453
rollout,production,first_half_1_200,timeout_fraction,200,0.109941,0.097656
rollout,production,second_half_201_400,reward_mean,200,0.660391,0.65625
rollout,production,second_half_201_400,zero_fraction,200,0.339609,0.34375
rollout,production,second_half_201_400,resp_len_mean,200,18146.275313,18181.208984
rollout,production,second_half_201_400,resp_len_median,200,17055.575,17094.5
rollout,production,second_half_201_400,tool_calls_mean,200,23.335566,23.375
rollout,production,second_half_201_400,timeout_fraction,200,0.089434,0.066406
rollout,production,all_1_400,reward_mean,400,0.650039,0.652344
rollout,production,all_1_400,zero_fraction,400,0.349961,0.347656
rollout,production,all_1_400,resp_len_mean,400,17239.997695,17395.578125
rollout,production,all_1_400,resp_len_median,400,15542.3775,15605.75
rollout,production,all_1_400,tool_calls_mean,400,24.526094,24.476562
rollout,production,all_1_400,timeout_fraction,400,0.099687,0.082031
trainer,production-dppo,Q1_1_100,val/avg_group_performance_post_filter,100,0.476612,0.477431
trainer,production-dppo,Q1_1_100,val/avg_group_performance_pre_filter,100,0.476612,0.477431
trainer,production-dppo,Q1_1_100,scores,100,0.629141,0.648438
trainer,production-dppo,Q1_1_100,val/sequence_lengths,100,14452.629648,14236.695312
trainer,production-dppo,Q1_1_100,tools/aggregate/avg_calls_per_rollout,100,26.42707,25.804688
trainer,production-dppo,Q1_1_100,tools/aggregate/failure_rate,100,0.002348,0.001947
trainer,production-dppo,Q1_1_100,debug/dppo_mask_frac_kept,100,0.999865,0.999906
trainer,production-dppo,Q1_1_100,debug/vllm_vs_local_logprob_diff_mean,100,0.00988,0.009995
trainer,production-dppo,Q1_1_100,debug/vllm_local_reverse_kl,100,1.3e-05,2.5e-05
trainer,production-dppo,Q1_1_100,debug/vllm_vs_local_logprob_diff_max,100,0.531564,0.506267
trainer,production-dppo,Q1_1_100,debug/vllm_vs_local_logprob_diff_std,100,0.026054,0.026109
trainer,production-dppo,Q2_101_200,val/avg_group_performance_post_filter,100,0.579451,0.582589
trainer,production-dppo,Q2_101_200,val/avg_group_performance_pre_filter,100,0.579451,0.582589
trainer,production-dppo,Q2_101_200,scores,100,0.650234,0.644531
trainer,production-dppo,Q2_101_200,val/sequence_lengths,100,18214.810508,18442.828125
trainer,production-dppo,Q2_101_200,tools/aggregate/avg_calls_per_rollout,100,25.006172,24.822266
trainer,production-dppo,Q2_101_200,tools/aggregate/failure_rate,100,0.002279,0.002054
trainer,production-dppo,Q2_101_200,debug/dppo_mask_frac_kept,100,0.999761,0.999791
trainer,production-dppo,Q2_101_200,debug/vllm_vs_local_logprob_diff_mean,100,0.012305,0.012419
trainer,production-dppo,Q2_101_200,debug/vllm_local_reverse_kl,100,-4.8e-05,-3e-05
