global_step,acceptance_step,scope,prompt_idx,n_samples,reward_mean,reward_std,reward_min,reward_max,n_zero,degenerate
1,1,group,0,32,0.8125,0.390312,0.0,1.0,6,0
1,1,group,1,32,0.875,0.330719,0.0,1.0,4,0
1,1,group,2,32,0.15625,0.363092,0.0,1.0,27,0
1,1,group,3,32,0.90625,0.291481,0.0,1.0,3,0
1,1,group,4,32,0.9375,0.242061,0.0,1.0,2,0
1,1,group,5,32,0.875,0.330719,0.0,1.0,4,0
1,1,group,6,32,0.96875,0.173993,0.0,1.0,1,0
1,1,group,7,32,0.8125,0.390312,0.0,1.0,6,0
1,1,step,,256,0.792969,0.405178,0.0,1.0,53,0
2,2,group,0,32,0.9375,0.242061,0.0,1.0,2,0
2,2,group,1,32,0.6875,0.463512,0.0,1.0,10,0
2,2,group,2,32,0.0625,0.242061,0.0,1.0,30,0
2,2,group,3,32,0.65625,0.474959,0.0,1.0,11,0
2,2,group,4,32,0.9375,0.242061,0.0,1.0,2,0
2,2,group,5,32,0.125,0.330719,0.0,1.0,28,0
2,2,group,6,32,0.15625,0.363092,0.0,1.0,27,0
2,2,group,7,32,0.5625,0.496078,0.0,1.0,14,0
2,2,step,,256,0.515625,0.499756,0.0,1.0,124,0
3,3,group,0,32,0.375,0.484123,0.0,1.0,20,0
3,3,group,1,32,0.53125,0.499022,0.0,1.0,15,0
3,3,group,2,32,0.09375,0.291481,0.0,1.0,29,0
3,3,group,3,32,0.15625,0.363092,0.0,1.0,27,0
3,3,group,4,32,0.96875,0.173993,0.0,1.0,1,0
3,3,group,5,32,0.0625,0.242061,0.0,1.0,30,0
3,3,group,6,32,0.875,0.330719,0.0,1.0,4,0
3,3,group,7,32,0.71875,0.449609,0.0,1.0,9,0
3,3,step,,256,0.472656,0.499252,0.0,1.0,135,0
4,4,group,0,32,0.8125,0.390312,0.0,1.0,6,0
4,4,group,1,32,0.1875,0.390312,0.0,1.0,26,0
4,4,group,2,32,0.78125,0.413399,0.0,1.0,7,0
4,4,group,3,32,0.875,0.330719,0.0,1.0,4,0
4,4,group,4,32,0.9375,0.242061,0.0,1.0,2,0
4,4,group,5,32,0.9375,0.242061,0.0,1.0,2,0
4,4,group,6,32,0.375,0.484123,0.0,1.0,20,0
4,4,group,7,32,0.9375,0.242061,0.0,1.0,2,0
4,4,step,,256,0.730469,0.443716,0.0,1.0,69,0
5,5,group,0,32,0.375,0.484123,0.0,1.0,20,0
5,5,group,1,32,0.90625,0.291481,0.0,1.0,3,0
5,5,group,2,32,0.9375,0.242061,0.0,1.0,2,0
5,5,group,3,32,0.90625,0.291481,0.0,1.0,3,0
5,5,group,4,32,0.65625,0.474959,0.0,1.0,11,0
5,5,group,5,32,0.1875,0.390312,0.0,1.0,26,0
5,5,group,6,32,0.5,0.5,0.0,1.0,16,0
5,5,group,7,32,0.84375,0.363092,0.0,1.0,5,0
5,5,step,,256,0.664062,0.472317,0.0,1.0,86,0
6,6,group,0,32,0.90625,0.291481,0.0,1.0,3,0
6,6,group,1,32,0.9375,0.242061,0.0,1.0,2,0
6,6,group,2,32,0.9375,0.242061,0.0,1.0,2,0
6,6,group,3,32,0.90625,0.291481,0.0,1.0,3,0
