global_step,acceptance_step,val/avg_group_performance_post_filter,val/avg_group_performance_pre_filter,scores,objective/verifiable_reward,objective/passthrough_reward,val/sequence_lengths,val/sequence_lengths_max,val/sequence_lengths_min,val/sequence_lengths_solved,val/sequence_lengths_unsolved,tools/aggregate/avg_calls_per_rollout,tools/bash/avg_calls_per_rollout,tools/aggregate/failure_rate,tools/aggregate/avg_runtime,tools/bash/failure_rate,tools/bash/avg_runtime,batch/filtered_prompts,batch/filtered_prompts_zero,batch/filtered_prompts_solved,batch/filtered_prompts_nonzero,batch/total_prompts,batch/no_resampled_prompts,val/total_reward_groups,debug/dppo_mask_frac_kept,debug/vllm_local_reverse_kl,debug/vllm_vs_local_logprob_diff_max,debug/vllm_vs_local_logprob_diff_mean,debug/vllm_vs_local_logprob_diff_std
1,1,0.4895833432674408,0.4895833432674408,0.79296875,0,0,6731.76171875,51776,1928,5978.36962890625,9617.396484375,19.07421875,19.07421875,0.0004095842596143484,0.04915011301636696,0.0004095842596143484,0.04915011301636696,7,6,1,0,8,0,8,0.9999752338624172,0.00013835407807505362,0.7242410182952881,0.006985959524172358,0.02369967446429655
2,2,0.34375,0.34375,0.515625,0,0,12986.68359375,48809,2559,9171.4091796875,17048.10546875,36.82421875,36.82421875,0.0011668611550703645,0.140023335814476,0.0011668611550703645,0.140023335814476,4,4,0,0,8,0,8,0.9999723756073718,9.129580035960316e-05,0.3394169195089489,0.006898156428178481,0.01855280022846273
3,3,0.2700892984867096,0.2700892984867096,0.47265625,0,0,15417.55078125,65536,2145,11417.71875,19002.5859375,28.8046875,28.8046875,0.000135611611767672,0.016273392364382744,0.000135611611767672,0.016273392364382744,6,6,0,0,8,0,8,0.9999528227094965,8.251035899320414e-05,0.549590889364481,0.006589383308892138,0.020428285468369722
4,4,0.34375,0.34375,0.73046875,0,0,7838.59375,29655,3038,6948.7060546875,10250.318359375,22.8046875,22.8046875,0.0013703323202207685,0.12332990765571594,0.0013703323202207685,0.12332990765571594,9,9,0,0,8,0,8,0.9999493178274511,-4.465658491881186e-06,0.5554039068520069,0.006132035530754365,0.021290730335749686
5,5,0.48557692766189575,0.48557692766189575,0.6640625,0,0,9192.26953125,53184,2390,7689.2998046875,12163.255859375,27.125,27.125,0.00028801843291148543,0,0.00028801843291148543,0,5,4,1,0,8,0,8,0.9998926827368451,0.0001665786514024603,0.5902770981192589,0.007524314511101693,0.02307621610816568
6,6,0.38786765933036804,0.38786765933036804,0.69921875,0,0,14984.94140625,48895,1253,9544.9384765625,27631.181640625,26.32421875,26.32421875,0.0013355097034946084,0.1424543708562851,0.0013355097034946084,0.1424543708562851,9,8,1,0,8,0,8,0.9999348007592175,-6.212490228563183e-05,0.3880621865391731,0.005770188989117742,0.018487863009795547
7,7,0.2578125,0.2578125,0.6484375,0,0,12574.69140625,65536,1,8190.33740234375,20661.388671875,26.52734375,26.52734375,0.0001472537114750594,0.017670447006821632,0.0001472537114750594,0.017670447006821632,16,15,1,0,8,0,8,0.9994702251472674,7.924312001250655e-05,0.4213363081216812,0.005980884321616031,0.018265177961438894
8,8,0.29403409361839294,0.29403409361839294,0.68359375,0,0,12673.8828125,58580,1,11123.3310546875,16023.83984375,29.18359375,29.18359375,0.0005354035529308021,0.06424842774868011,0.0005354035529308021,0.06424842774868011,14,13,1,0,8,0,8,0.9997923351978855,-7.050664765984038e-05,0.5070770680904388,0.0077143415255704895,0.02230137400329113
9,9,0.4866071343421936,0.4866071343421936,0.4765625,0,0,12659.41796875,53703,501,11876.5244140625,13372.201171875,31.01953125,31.01953125,0.0037778618279844522,0.42312052845954895,0.0037778618279844522,0.42312052845954895,6,3,3,0,8,0,8,0.9997711967836531,0.00023305796966610615,0.5906141400337219,0.009007187560200691,0.02612950757611543
10,10,0.3571428656578064,0.3571428656578064,0.6875,0,0,21255.5234375,65536,2670,19261.419921875,25642.55078125,36.16796875,36.16796875,0.0011880332604050636,0.14256399869918823,0.0011880332604050636,0.14256399869918823,13,11,2,0,8,0,8,0.9999025716240787,-4.6039661810937105e-05,0.5970304310321808,0.010957377176964656,0.027210185187868774
11,11,0.4401041567325592,0.4401041567325592,0.66015625,0,0,13511.4765625,60444,1761,9749.6328125,20818.96484375,25.86328125,25.86328125,0.005890348926186562,0.6887177228927612,0.005890348926186562,0.6887177228927612,4,4,0,0,8,0,8,0.9997147778948092,-0.00018235713355352345,0.5454907678067684,0.007117136818123981,0.02467882342170924
12,12,0.32421875,0.32421875,0.3984375,0,0,16588.09375,65536,2116,11345.8623046875,20060.220703125,31.73828125,31.73828125,0.0014769231202080846,0.1624615341424942,0.0014769231202080846,0.1624615341424942,8,6,2,0,8,0,8,0.9995450848086013,-0.00010200354086009611,0.535881519317627,0.008855381980538368,0.02519048552494496
13,13,0.5052083134651184,0.5052083134651184,0.7578125,0,0,14276.47265625,65536,1,12508.03125,19809.984375,24.91796875,24.91796875,0.0009405863238498569,0.11287035793066025,0.0009405863238498569,0.11287035793066025,4,4,0,0,8,0,8,0.9995386628455899,-0.00012278097256057663,0.6722490340471268,0.009264878201065585,0.0280026919208467
14,14,0.3499999940395355,0.3499999940395355,0.4375,0,0,14237.42578125,65536,1,8665.2587890625,18571.333984375,36.234375,36.234375,0.0016170763410627842,0.18111254274845123,0.0016170763410627842,0.18111254274845123,2,2,0,0,8,0,8,0.9982003608071633,4.923191626460266e-05,0.5508510991930962,0.010832631087396294,0.029576703091152012
15,15,0.5902777910232544,0.5902777910232544,0.6640625,0,0,13259.5703125,65536,1,12371.2529296875,15015.546875,22.49609375,22.49609375,0.0050355964340269566,0.5209237933158875,0.0050355964340269566,0.5209237933158875,1,1,0,0,8,0,8,0.9996789618641984,-0.00028745838949362224,0.6591426134109497,0.010799519455758855,0.031245700083673
16,16,0.42578125,0.42578125,0.6015625,0,0,15074.015625,58591,2825,15228.4873046875,14840.7939453125,30.6328125,30.6328125,0.0003825554740615189,0.04590665549039841,0.0003825554740615189,0.04590665549039841,8,6,2,0,8,0,8,0.9996410131343054,-0.0003181448196301062,0.6960572823882103,0.010816022142535076,0.030575289856642485
17,17,0.5163690447807312,0.5163690447807312,0.60546875,0,0,15281.890625,50762,1207,12528.548828125,19507.31640625,31.9140625,31.9140625,0.0009791922057047486,0.11750306189060211,0.0009791922057047486,0.11750306189060211,13,7,6,0,8,0,8,0.9994681710598093,0.00035574814546635025,0.7143210917711258,0.01414549702894874,0.035832720808684826
18,18,0.3660714328289032,0.3660714328289032,0.515625,0,0,16497.51171875,65536,2106,11474.2041015625,21844.90234375,23.20703125,23.20703125,0.012455815449357033,1.4139033555984497,0.012455815449357033,1.4139033555984497,6,5,1,0,8,0,8,0.9999024381265226,-9.178375194096589e-05,0.7501632794737816,0.00933152370271273,0.028398326481692493
19,19,0.5380434989929199,0.5380434989929199,0.671875,0,0,17619.15234375,65536,2574,12529.4072265625,28041.01171875,29.125,29.125,0.0010729613713920116,0.1287553608417511,0.0010729613713920116,0.1287553608417511,15,8,7,0,8,0,8,0.9999374163448367,-1.8389623122061494e-05,0.3899437114596367,0.007396452710963786,0.020090637146495283
20,20,0.4326923191547394,0.4326923191547394,0.578125,0,0,17028.83203125,61653,1959,14275.3916015625,20802.064453125,31.28125,31.28125,0.005119880195707083,0.5844155550003052,0.005119880195707083,0.5844155550003052,5,4,1,0,8,0,8,0.9999439508469905,1.296932845207266e-05,0.5823478251695633,0.009075557172764093,0.025894313002936542
21,21,0.4869791567325592,0.4869791567325592,0.73046875,0,0,11849.2421875,49247,1,10337.94140625,15945.0869140625,23.38671875,23.38671875,0.004843828268349171,0.5612159967422485,0.004843828268349171,0.5612159967422485,4,4,0,0,8,0,8,0.999925702422033,-4.560473357173578e-06,0.5983437746763229,0.006886756518724724,0.023133300550398417
22,22,0.4618055522441864,0.4618055522441864,0.51953125,0,0,13699.1640625,55075,1,12533.6240234375,14959.4638671875,28.45703125,28.45703125,0.0020590254571288824,0.24708305299282074,0.0020590254571288824,0.24708305299282074,1,1,0,0,8,0,8,0.999915543928311,0.00015332052637972993,0.42990242317318916,0.009063985562534072,0.02383568207733333
23,23,0.3076923191547394,0.3076923191547394,0.5,0,0,15334.23828125,48988,1,13511.6015625,17156.875,34.4765625,34.4765625,0.0006798096583224833,0.08157715946435928,0.0006798096583224833,0.08157715946435928,5,5,0,0,8,0,8,0.9998707149260245,0.00012794353366984978,0.6321881152689457,0.008893076737876981,0.026674719294533134
24,24,0.4270833432674408,0.4270833432674408,0.640625,0,0,16925.33203125,50960,1,15210.4208984375,19982.34765625,30.953125,30.953125,0.0017667844658717513,0.21201413869857788,0.0017667844658717513,0.21201413869857788,4,4,0,0,8,0,8,0.9999063482704854,0.00025918770893440524,0.5853744214400649,0.009536519428365864,0.028058859112206846
25,25,0.5833333134651184,0.5833333134651184,0.625,0,0,17031.53125,58907,2578,13580.2626953125,22783.646484375,33.78125,33.78125,0.0021970397792756557,0.23589269816875458,0.0021970397792756557,0.23589269816875458,4,2,2,0,8,0,8,0.9999245227923778,0.00024229912924056407,0.4629092812538147,0.008560551417758688,0.024866595631465316
26,26,0.39144736528396606,0.39144736528396606,0.6796875,0,0,19562.27734375,60197,1026,15622.5283203125,27922.232421875,27.546875,27.546875,0.0008508224855177104,0.10209869593381882,0.0008508224855177104,0.10209869593381882,11,9,2,0,8,0,8,0.9999313256955078,0.0002576981733000139,0.4929511323571205,0.007417022206936963,0.02147181041073054
27,27,0.568359375,0.568359375,0.76171875,0,0,14649.18359375,58032,2238,12147.5283203125,22646.279296875,22.25390625,22.25390625,0.0007021239143796265,0.08425486832857132,0.0007021239143796265,0.08425486832857132,8,5,3,0,8,0,8,0.9999361068291828,0.0002578298021944647,0.6336176320910454,0.008056193415541202,0.02466822136193514
28,28,0.2743055522441864,0.2743055522441864,0.3671875,0,0,20903.703125,65536,2163,14082.45703125,24861.708984375,31.4296875,31.4296875,0.004847128875553608,0.5816555023193359,0.004847128875553608,0.5816555023193359,10,8,2,0,8,0,8,0.9999247294881596,0.00025005999941640766,0.3890969604253769,0.008423062390647829,0.021296102553606033
