model_name,step,pass@1,pass@5,mean_reward,mean_reward_std,errors,error_rate,agent_timeout_err,infra_err,pass1_infra_adj,n_trials,dataset,k,max_model_len,workspace,beaker_url,status,train_grp_perf,train_grp_perf_w5,train_scores,train_scores_w5,train_kl2,train_seq_len,wandb_url,train_beaker_url
Qwen/Qwen3.5-2B,,0.0135,0.0337,0.0135,0.0045,24,0.054,14,11,0.0138,445,terminal-bench-2-1,5,65536,ai2/general-tool-use,https://beaker.org/ex/01KWZPG8NYVWBBXWBBRE5REZ08,done,,,,,,,,
Qwen/Qwen3.5-4B,,0.1348,0.2247,0.1348,0.0174,62,0.139,23,40,0.1481,445,terminal-bench-2-1,5,65536,ai2/general-tool-use,https://beaker.org/ex/01KWZPGEQ571DHRFGGYK1Z781X,done,,,,,,,,
Qwen/Qwen3.5-9B,,0.1933,0.3596,0.1933,0.0165,71,0.160,20,52,0.2189,445,terminal-bench-2-1,5,65536,ai2/general-tool-use,https://beaker.org/ex/01KWZPGMH7RACJSYEGCB65YVAQ,done,,,,,,,,
allenai/tmax-2b,,0.0337,,0.0347,0.0081,44,0.099,,,,445,terminal-bench-2-1,5,65536,ai2/general-tool-use,https://beaker.org/ex/01KWZPFWPZ1TWXK8Y8P2HJJC4N,done,,,,,,,,
allenai/tmax-4b,,0.1865,0.2809,0.1865,0.0115,43,0.097,22,22,0.1962,445,terminal-bench-2-1,5,65536,ai2/general-tool-use,https://beaker.org/ex/01KWZNRAYA38F5P6PDS709PMXJ,done,,,,,,,,
allenai/tmax-9b,,0.2764,0.4382,0.2764,0.0183,84,0.189,31,54,0.3146,445,terminal-bench-2-1,5,65536,ai2/general-tool-use,https://beaker.org/ex/01KWZPG2WKYH7KJBNSJR5MQWG1,done,,,,,,,,
swerl-qwen35-9b-dppo-4n64k,120,0.2292,0.3596,0.2292,0.0196,77,0.173,19,59,0.2642,445,terminal-bench-2-1,5,65536,ai2/oe-agents,https://beaker.org/ex/01KXH18R73AXTC7NHDCQ3Q94T8,done,0.6771,0.6087,0.7695,0.6431,0.0456,13695,https://wandb.ai/ai2-llm/oe-general-agents/ut64ii7s,https://beaker.org/ex/01KXD0MKSJ3STAX6CJQT6YRAEC
swerl-qwen35-9b-dppo-4n64k,140,0.2404,0.3933,0.2404,0.0220,78,0.175,16,63,0.2800,445,terminal-bench-2-1,5,65536,ai2/oe-agents,https://beaker.org/ex/01KXH18X19ZD9B36KE1NNDTWVS,done,0.7812,0.5819,0.6172,0.6161,0.0693,17566,https://wandb.ai/ai2-llm/oe-general-agents/ut64ii7s,https://beaker.org/ex/01KXD0MKSJ3STAX6CJQT6YRAEC
swerl-qwen35-9b-dppo-4n64k,160,0.2472,0.4270,0.2472,0.0256,96,0.216,28,69,0.2925,445,terminal-bench-2-1,5,65536,ai2/oe-agents,https://beaker.org/ex/01KXKWB75GHZ8JFW0Q81D8QBEN,done,0.5755,0.6692,0.6133,0.6669,0.0608,25358,https://wandb.ai/ai2-llm/oe-general-agents/ut64ii7s,https://beaker.org/ex/01KXD0MKSJ3STAX6CJQT6YRAEC
swerl-qwen35-9b-dppo-4n64k,180,0.2584,0.4270,0.2584,0.0256,81,0.182,20,62,0.3002,445,terminal-bench-2-1,5,65536,ai2/oe-agents,https://beaker.org/ex/01KXKWBCD2HDJKQ6VW38J3HW8C,done,0.5547,0.6295,0.7344,0.6761,0.0514,25750,https://wandb.ai/ai2-llm/oe-general-agents/ut64ii7s,https://beaker.org/ex/01KXD0MKSJ3STAX6CJQT6YRAEC
swerl-qwen35-9b-dppo-4n64k,200,0.2449,0.4157,0.2449,0.0279,93,0.209,22,72,0.2922,445,terminal-bench-2-1,5,65536,ai2/oe-agents,https://beaker.org/ex/01KXQGRG82KFAKC31BSDJ5ERCZ,done,0.4575,0.5643,0.4297,0.5476,0.0691,28325,https://wandb.ai/ai2-llm/oe-general-agents/ut64ii7s,https://beaker.org/ex/01KXD0MKSJ3STAX6CJQT6YRAEC
