model_name,step,max_model_len,tb21_pass@1,tb21_pass@5,tb21_pass1_adj,tb21_err_rate,tb21_beaker_url,tblite_pass@1,tblite_pass@5,tblite_pass1_adj,tblite_err_rate,tblite_beaker_url,train_grp_perf_w5,train_kl2,train_seq_len,wandb_url,train_beaker_url,workspace
hamishivi/Qwen3-8B,,32768,0.0225,0.0899,0.0231,0.076,https://beaker.org/ex/01KY8XP1RJYX75BA127SZZF7FS,0.0840,0.1800,0.0850,0.058,https://beaker.org/ex/01KYJQ19Y0MYZPRS6HGHYYT2X7,,,,,,ai2/oe-agents
Qwen/Qwen3.5-2B,,65536,0.0135,0.0337,0.0138,0.056,https://beaker.org/ex/01KWZPG8NYVWBBXWBBRE5REZ08,0.0800,0.1600,0.0821,0.090,https://beaker.org/ex/01KX28NCH5JH4FN4T0V8AH46HB,,,,,,ai2/general-tool-use
Qwen/Qwen3.5-4B,,65536,0.1348,0.2247,0.1481,0.142,https://beaker.org/ex/01KWZPGEQ571DHRFGGYK1Z781X,0.3520,0.5200,0.3585,0.060,https://beaker.org/ex/01KY15MXAEZE7C6G1C0453AM8S,,,,,,ai2/general-tool-use
Qwen/Qwen3.5-9B,,65536,0.1933,0.3596,0.2189,0.162,https://beaker.org/ex/01KWZPGMH7RACJSYEGCB65YVAQ,0.4320,0.6900,0.4557,0.116,https://beaker.org/ex/01KX28NMF28RRZMX6XTJEHVDWC,,,,,,ai2/general-tool-use
allenai/tmax-sft-8b,,32768,0.0584,0.1461,0.0628,0.142,https://beaker.org/ex/01KY6AJYYZY0GFEKTVR0022W2N,0.1020,0.2400,0.1047,0.056,https://beaker.org/ex/01KY6AK2DK6AMFAZHZEJQ629V7,,,,,,ai2/oe-agents
sft-tmax-qwen3-8b-1ep,,32768,0.0360,0.0899,0.0381,0.146,https://beaker.org/ex/01KY69WHCVPQTEQSB0NX8F1NJC,0.1240,0.2700,0.1273,0.060,https://beaker.org/ex/01KY69WMVK1MYAVNDNAS41852W,,,8953,https://wandb.ai/ai2-llm/oe-general-agents/v6f0duse,https://beaker.org/ex/01KY5QW2NTQNNNNHSX1JPN13NP,ai2/oe-agents
sft-tmax-qwen3-8b-2ep,,32768,0.0584,0.1348,0.0635,0.160,https://beaker.org/ex/01KY69WR9XWZ0HYV8TV4HX04NB,0.1500,0.3200,0.1556,0.082,https://beaker.org/ex/01KY69WVS729277QCBQY553MSV,,,8953,https://wandb.ai/ai2-llm/oe-general-agents/v6f0duse,https://beaker.org/ex/01KY5QW2NTQNNNNHSX1JPN13NP,ai2/oe-agents
sft-tmax-qwen35-9b-1ep,,32768,0.1056,0.2247,0.1122,0.065,https://beaker.org/ex/01KY5RJ068FPW34JWDC1XKBK10,0.2300,0.4900,0.2371,0.054,https://beaker.org/ex/01KY5RJ4FDTJFR2NGBCQWJD18N,,,9215,https://wandb.ai/ai2-llm/oe-general-agents/6z2csa17,https://beaker.org/ex/01KY5FB3PM305JBJ0NEH76E998,ai2/oe-agents
sft-tmax-qwen35-9b-2ep,,32768,0.1416,0.2584,0.1518,0.094,https://beaker.org/ex/01KY5RJ828EERGRRFW1JRGB1BS,0.2700,0.4700,0.2801,0.068,https://beaker.org/ex/01KY5RJBQSH7CQES8RQVY8NZ8P,,,9215,https://wandb.ai/ai2-llm/oe-general-agents/6z2csa17,https://beaker.org/ex/01KY5FB3PM305JBJ0NEH76E998,ai2/oe-agents
sft-tmax-qwen35-9b-big-1ep,,32768,0.0944,0.2022,0.0979,0.070,https://beaker.org/ex/01KYAQ5YX84PRTF22PFK97CJPZ,0.2040,0.4300,0.2086,0.064,https://beaker.org/ex/01KYJQ1DJX4PYPYTGFSGNCJSEM,,,12611,https://wandb.ai/ai2-llm/oe-general-agents/of6i30vx,https://beaker.org/ex/01KY6QQ75GWW4PTHQB4Z048V1S,ai2/oe-agents
